transaction_id,timestamp,amount,merchant_category,payment_mode,location_type,is_successful,transaction_hour,day_of_week
TXN100133,2024-02-17 10:15:00,4753.09,Food & Dining,Contact,Urban,No,10,Saturday
TXN100003,2024-02-17 22:22:00,3268.35,Food & Dining,Online,Semi-Urban,Yes,22,Saturday
TXN100185,2024-02-20 21:57:00,3510.71,Bills & Utilities,Contact,Rural,No,21,Tuesday
TXN100024,2024-02-20 23:50:00,681.18,Fuel,AutoPay,Semi-Urban,Yes,23,Tuesday
TXN100162,2024-02-21 01:09:00,2954.46,Entertainment,Contact,Semi-Urban,Yes,1,Wednesday
TXN100114,2024-02-21 01:40:00,4333.35,Travel,Contact,Semi-Urban,Yes,1,Wednesday
TXN100062,2024-02-22 03:00:00,1052.74,Health & Pharmacy,QR,Rural,No,3,Thursday
TXN100181,2024-02-22 16:30:00,23.75,Bills & Utilities,Contact,Urban,No,16,Thursday
TXN100074,2024-02-23 19:03:00,729.39,Entertainment,Online,Semi-Urban,No,19,Friday
TXN100480,2024-02-25 03:34:00,2612.06,Groceries,AutoPay,Urban,No,3,Sunday
TXN100129,2024-02-27 14:33:00,2092.35,Travel,Contact,Rural,No,14,Tuesday
TXN100134,2024-02-27 17:22:00,4150.34,Fuel,AutoPay,Rural,Yes,17,Tuesday
TXN100478,2024-02-28 12:47:00,2847.03,Fuel,AutoPay,Urban,Yes,12,Wednesday
TXN100245,2024-02-29 07:04:00,4805.35,Food & Dining,Contact,Rural,No,7,Thursday
TXN100036,2024-03-02 00:15:00,809.56,Groceries,QR,Semi-Urban,No,0,Saturday
TXN100184,2024-03-02 14:33:00,864.49,Shopping,Contact,Semi-Urban,Yes,14,Saturday
TXN100173,2024-03-04 11:57:00,1689.69,Online Services,QR,Rural,Yes,11,Monday
TXN100093,2024-03-05 04:19:00,2660.92,Travel,AutoPay,Semi-Urban,Yes,4,Tuesday
TXN100398,2024-03-05 23:20:00,2720.45,Groceries,Online,Urban,Yes,23,Tuesday
TXN100094,2024-03-07 00:09:00,1635.74,Groceries,AutoPay,Urban,No,0,Thursday
TXN100304,2024-03-09 16:02:00,2960.71,Entertainment,QR,Rural,No,16,Saturday
TXN100220,2024-03-11 00:57:00,4201.19,Bills & Utilities,Online,Urban,No,0,Monday
TXN100323,2024-03-12 08:54:00,4582.49,Shopping,AutoPay,Urban,Yes,8,Tuesday
TXN100456,2024-03-13 04:32:00,1595.59,Travel,Contact,Urban,No,4,Wednesday
TXN100276,2024-03-13 10:57:00,1505.17,Shopping,Online,Rural,No,10,Wednesday
TXN100168,2024-03-13 15:17:00,2707.98,Travel,QR,Semi-Urban,Yes,15,Wednesday
TXN100167,2024-03-14 06:36:00,3903.7,Online Services,Online,Semi-Urban,No,6,Thursday
TXN100190,2024-03-14 07:00:00,4631.92,Online Services,AutoPay,Semi-Urban,Yes,7,Thursday
TXN100028,2024-03-16 11:45:00,4808.83,Shopping,AutoPay,Rural,Yes,11,Saturday
TXN100149,2024-03-17 02:37:00,1524.98,Bills & Utilities,QR,Semi-Urban,Yes,2,Sunday
TXN100214,2024-03-18 02:38:00,179.8,Online Services,Contact,Rural,No,2,Monday
TXN100254,2024-03-18 12:07:00,4883.88,Health & Pharmacy,Online,Semi-Urban,No,12,Monday
TXN100385,2024-03-18 12:12:00,1118.97,Groceries,Contact,Urban,No,12,Monday
TXN100362,2024-03-19 22:17:00,4228.99,Shopping,Contact,Urban,Yes,22,Tuesday
TXN100445,2024-03-20 13:22:00,3943.44,Bills & Utilities,Online,Rural,No,13,Wednesday
TXN100076,2024-03-22 01:45:00,2030.29,Online Services,AutoPay,Semi-Urban,Yes,1,Friday
TXN100021,2024-03-22 08:27:00,3905.33,Fuel,Online,Rural,Yes,8,Friday
TXN100353,2024-03-23 10:01:00,2784.56,Food & Dining,QR,Semi-Urban,No,10,Saturday
TXN100311,2024-03-24 04:38:00,1339.21,Entertainment,Contact,Semi-Urban,No,4,Sunday
TXN100469,2024-03-24 06:51:00,3555.17,Other,AutoPay,Rural,Yes,6,Sunday
TXN100461,2024-03-24 20:35:00,943.66,Bills & Utilities,Online,Rural,Yes,20,Sunday
TXN100427,2024-03-25 09:35:00,551.21,Groceries,QR,Semi-Urban,Yes,9,Monday
TXN100294,2024-03-25 11:52:00,1953.62,Bills & Utilities,QR,Urban,Yes,11,Monday
TXN100044,2024-03-25 17:38:00,4973.82,Travel,QR,Urban,Yes,17,Monday
TXN100126,2024-03-26 04:31:00,1203.16,Health & Pharmacy,AutoPay,Semi-Urban,Yes,4,Tuesday
TXN100112,2024-03-27 20:10:00,2102.82,Entertainment,Online,Urban,No,20,Wednesday
TXN100016,2024-03-30 00:33:00,4928.6,Other,Online,Urban,Yes,0,Saturday
TXN100053,2024-03-31 09:09:00,1395.93,Online Services,AutoPay,Rural,Yes,9,Sunday
TXN100145,2024-03-31 12:05:00,2286.58,Other,Contact,Urban,No,12,Sunday
TXN100131,2024-04-01 00:04:00,1404.08,Food & Dining,Contact,Rural,No,0,Monday
TXN100013,2024-04-01 23:51:00,1930.19,Other,Online,Rural,No,23,Monday
TXN100212,2024-04-02 02:48:00,1039.4,Entertainment,QR,Rural,No,2,Tuesday
TXN100279,2024-04-02 14:49:00,940.47,Food & Dining,Online,Urban,Yes,14,Tuesday
TXN100413,2024-04-02 17:16:00,1958.81,Fuel,Online,Rural,No,17,Tuesday
TXN100334,2024-04-03 09:07:00,3015.62,Online Services,QR,Urban,No,9,Wednesday
TXN100205,2024-04-04 02:55:00,323.81,Travel,QR,Rural,No,2,Thursday
TXN100008,2024-04-04 08:57:00,3510.62,Fuel,Online,Semi-Urban,No,8,Thursday
TXN100054,2024-04-04 21:30:00,535.34,Bills & Utilities,Contact,Urban,Yes,21,Thursday
TXN100289,2024-04-05 14:27:00,3901.89,Entertainment,Contact,Urban,No,14,Friday
TXN100219,2024-04-06 00:43:00,4507.19,Bills & Utilities,QR,Rural,No,0,Saturday
TXN100034,2024-04-06 13:06:00,1806.67,Fuel,QR,Rural,No,13,Saturday
TXN100078,2024-04-07 00:54:00,4498.03,Groceries,QR,Rural,No,0,Sunday
TXN100426,2024-04-07 02:28:00,276.8,Travel,Contact,Semi-Urban,Yes,2,Sunday
TXN100409,2024-04-09 07:15:00,915.46,Fuel,Contact,Urban,No,7,Tuesday
TXN100420,2024-04-10 12:31:00,3526.0,Travel,AutoPay,Rural,No,12,Wednesday
TXN100183,2024-04-11 01:52:00,2006.67,Food & Dining,QR,Urban,No,1,Thursday
TXN100111,2024-04-11 02:38:00,730.57,Fuel,AutoPay,Semi-Urban,Yes,2,Thursday
TXN100451,2024-04-11 13:48:00,4586.41,Fuel,Online,Semi-Urban,Yes,13,Thursday
TXN100406,2024-04-11 18:00:00,213.27,Groceries,QR,Semi-Urban,Yes,18,Thursday
TXN100211,2024-04-12 07:59:00,3587.67,Fuel,QR,Rural,Yes,7,Friday
TXN100275,2024-04-12 10:45:00,83.32,Online Services,Contact,Semi-Urban,No,10,Friday
TXN100314,2024-04-14 06:44:00,2466.76,Health & Pharmacy,Online,Semi-Urban,Yes,6,Sunday
TXN100410,2024-04-14 09:32:00,890.9,Other,Online,Rural,No,9,Sunday
TXN100141,2024-04-14 11:58:00,510.3,Shopping,AutoPay,Urban,No,11,Sunday
TXN100379,2024-04-14 18:50:00,182.29,Other,Online,Urban,Yes,18,Sunday
TXN100272,2024-04-15 07:58:00,3267.95,Health & Pharmacy,Online,Urban,No,7,Monday
TXN100061,2024-04-15 11:50:00,559.46,Shopping,Online,Rural,Yes,11,Monday
TXN100265,2024-04-16 06:29:00,3450.71,Bills & Utilities,Contact,Semi-Urban,No,6,Tuesday
TXN100375,2024-04-16 07:46:00,408.39,Shopping,QR,Urban,Yes,7,Tuesday
TXN100318,2024-04-17 11:02:00,2887.86,Shopping,Contact,Semi-Urban,Yes,11,Wednesday
TXN100070,2024-04-17 15:21:00,3303.64,Entertainment,QR,Rural,No,15,Wednesday
TXN100306,2024-04-19 23:43:00,1003.22,Travel,Online,Semi-Urban,Yes,23,Friday
TXN100041,2024-04-21 10:33:00,4804.58,Food & Dining,AutoPay,Urban,Yes,10,Sunday
TXN100485,2024-04-22 10:48:00,825.68,Fuel,Online,Urban,Yes,10,Monday
TXN100010,2024-04-23 11:40:00,2191.89,Entertainment,Contact,Semi-Urban,No,11,Tuesday
TXN100231,2024-04-23 14:02:00,3246.54,Shopping,AutoPay,Rural,Yes,14,Tuesday
TXN100382,2024-04-24 15:32:00,4487.08,Entertainment,AutoPay,Rural,No,15,Wednesday
TXN100105,2024-04-25 00:58:00,2691.74,Food & Dining,Contact,Rural,Yes,0,Thursday
TXN100097,2024-04-25 03:36:00,2155.86,Entertainment,Contact,Urban,Yes,3,Thursday
TXN100171,2024-04-26 18:02:00,2623.22,Groceries,Online,Rural,No,18,Friday
TXN100124,2024-04-27 02:01:00,1726.28,Health & Pharmacy,Online,Semi-Urban,No,2,Saturday
TXN100363,2024-04-27 21:45:00,222.08,Health & Pharmacy,Contact,Urban,Yes,21,Saturday
TXN100342,2024-04-28 13:50:00,187.33,Fuel,QR,Semi-Urban,No,13,Sunday
TXN100488,2024-04-28 21:45:00,2968.86,Entertainment,QR,Urban,Yes,21,Sunday
TXN100299,2024-04-28 22:27:00,3601.5,Online Services,Contact,Semi-Urban,No,22,Sunday
TXN100104,2024-04-30 06:16:00,4078.48,Health & Pharmacy,Online,Rural,Yes,6,Tuesday
TXN100493,2024-04-30 18:37:00,4733.97,Groceries,Contact,Rural,Yes,18,Tuesday
TXN100348,2024-04-30 21:15:00,340.25,Other,AutoPay,Urban,No,21,Tuesday
TXN100452,2024-04-30 21:52:00,3064.57,Fuel,Online,Urban,Yes,21,Tuesday
TXN100377,2024-05-01 01:20:00,4193.18,Online Services,Online,Urban,No,1,Wednesday
TXN100196,2024-05-02 15:23:00,4654.41,Food & Dining,Online,Rural,Yes,15,Thursday
TXN100014,2024-05-02 17:45:00,2183.55,Online Services,QR,Urban,No,17,Thursday
TXN100361,2024-05-02 18:15:00,2905.05,Fuel,Online,Urban,No,18,Thursday
TXN100121,2024-05-03 15:19:00,2467.28,Travel,QR,Rural,No,15,Friday
TXN100335,2024-05-05 15:47:00,4354.25,Groceries,Online,Urban,No,15,Sunday
TXN100117,2024-05-05 19:38:00,1701.31,Groceries,Contact,Semi-Urban,Yes,19,Sunday
TXN100095,2024-05-07 05:37:00,228.46,Health & Pharmacy,AutoPay,Semi-Urban,Yes,5,Tuesday
TXN100154,2024-05-07 16:37:00,201.72,Travel,QR,Urban,Yes,16,Tuesday
TXN100240,2024-05-07 20:50:00,573.48,Online Services,Contact,Urban,Yes,20,Tuesday
TXN100435,2024-05-08 00:59:00,384.49,Online Services,AutoPay,Semi-Urban,No,0,Wednesday
TXN100326,2024-05-08 16:08:00,4496.93,Food & Dining,Contact,Semi-Urban,No,16,Wednesday
TXN100439,2024-05-08 21:37:00,4591.72,Fuel,Contact,Semi-Urban,No,21,Wednesday
TXN100442,2024-05-09 21:05:00,1481.04,Entertainment,Contact,Rural,Yes,21,Thursday
TXN100303,2024-05-10 12:59:00,2197.87,Online Services,Online,Urban,No,12,Friday
TXN100059,2024-05-12 05:36:00,2798.47,Food & Dining,AutoPay,Rural,Yes,5,Sunday
TXN100002,2024-05-12 14:53:00,241.22,Online Services,Contact,Rural,No,14,Sunday
TXN100030,2024-05-12 18:51:00,1734.73,Online Services,AutoPay,Semi-Urban,No,18,Sunday
TXN100346,2024-05-13 21:43:00,1680.9,Food & Dining,AutoPay,Urban,No,21,Monday
TXN100037,2024-05-14 17:09:00,193.42,Other,Contact,Urban,Yes,17,Tuesday
TXN100261,2024-05-15 11:58:00,328.46,Food & Dining,QR,Rural,No,11,Wednesday
TXN100242,2024-05-15 17:27:00,3464.65,Other,Online,Rural,Yes,17,Wednesday
TXN100247,2024-05-17 09:30:00,3876.02,Online Services,Contact,Rural,No,9,Friday
TXN100369,2024-05-18 17:16:00,3207.9,Other,Contact,Rural,Yes,17,Saturday
TXN100368,2024-05-20 05:01:00,4906.4,Online Services,Online,Semi-Urban,Yes,5,Monday
TXN100260,2024-05-20 10:14:00,3446.03,Travel,Online,Urban,Yes,10,Monday
TXN100255,2024-05-22 16:52:00,3439.1,Other,Contact,Urban,No,16,Wednesday
TXN100476,2024-05-22 23:07:00,1477.7,Shopping,Online,Semi-Urban,Yes,23,Wednesday
TXN100165,2024-05-24 05:01:00,718.24,Online Services,Contact,Urban,Yes,5,Friday
TXN100046,2024-05-24 14:42:00,2180.08,Groceries,QR,Semi-Urban,Yes,14,Friday
TXN100405,2024-05-25 19:33:00,3117.87,Shopping,Online,Rural,Yes,19,Saturday
TXN100481,2024-05-25 21:40:00,116.49,Food & Dining,QR,Semi-Urban,No,21,Saturday
TXN100099,2024-05-26 17:02:00,1780.17,Health & Pharmacy,Online,Rural,No,17,Sunday
TXN100172,2024-05-27 01:13:00,1775.11,Health & Pharmacy,Contact,Semi-Urban,No,1,Monday
TXN100372,2024-05-27 05:14:00,1563.85,Shopping,AutoPay,Rural,Yes,5,Monday
TXN100296,2024-05-27 11:29:00,1380.83,Entertainment,Contact,Urban,Yes,11,Monday
TXN100263,2024-05-28 00:51:00,4780.64,Groceries,AutoPay,Rural,Yes,0,Tuesday
TXN100380,2024-05-28 17:48:00,2151.58,Other,QR,Rural,No,17,Tuesday
TXN100297,2024-05-29 07:00:00,1814.12,Travel,Online,Rural,No,7,Wednesday
TXN100107,2024-05-29 12:19:00,4664.3,Entertainment,QR,Semi-Urban,Yes,12,Wednesday
TXN100055,2024-05-30 23:22:00,24.25,Health & Pharmacy,QR,Semi-Urban,No,23,Thursday
TXN100374,2024-05-31 06:43:00,658.78,Other,Online,Semi-Urban,Yes,6,Friday
TXN100392,2024-05-31 15:49:00,3155.6,Travel,Contact,Semi-Urban,No,15,Friday
TXN100249,2024-06-01 01:11:00,2798.46,Travel,AutoPay,Urban,Yes,1,Saturday
TXN100156,2024-06-01 01:34:00,2335.81,Health & Pharmacy,Contact,Rural,No,1,Saturday
TXN100483,2024-06-02 01:38:00,2309.46,Fuel,Online,Rural,No,1,Sunday
TXN100182,2024-06-02 20:07:00,173.03,Other,Online,Semi-Urban,Yes,20,Sunday
TXN100320,2024-06-04 03:40:00,1588.51,Groceries,AutoPay,Urban,No,3,Tuesday
TXN100012,2024-06-04 13:46:00,3040.92,Other,Online,Urban,No,13,Tuesday
TXN100492,2024-06-04 21:09:00,1373.24,Fuel,Online,Urban,No,21,Tuesday
TXN100221,2024-06-05 02:12:00,1633.01,Fuel,Online,Rural,Yes,2,Wednesday
TXN100351,2024-06-05 17:18:00,627.56,Bills & Utilities,Contact,Urban,Yes,17,Wednesday
TXN100467,2024-06-05 20:52:00,4920.98,Fuel,Online,Rural,Yes,20,Wednesday
TXN100195,2024-06-06 05:15:00,2243.45,Bills & Utilities,QR,Rural,Yes,5,Thursday
TXN100050,2024-06-06 09:43:00,4122.68,Shopping,AutoPay,Rural,No,9,Thursday
TXN100262,2024-06-06 15:03:00,3999.15,Other,QR,Urban,Yes,15,Thursday
TXN100127,2024-06-06 17:03:00,4677.11,Food & Dining,Contact,Semi-Urban,Yes,17,Thursday
TXN100155,2024-06-07 02:58:00,3194.84,Bills & Utilities,AutoPay,Rural,Yes,2,Friday
TXN100477,2024-06-07 07:08:00,859.97,Online Services,AutoPay,Semi-Urban,No,7,Friday
TXN100147,2024-06-07 14:40:00,1977.64,Online Services,QR,Semi-Urban,Yes,14,Friday
TXN100472,2024-06-07 19:09:00,4387.88,Groceries,Contact,Urban,No,19,Friday
TXN100079,2024-06-07 20:24:00,4355.38,Online Services,QR,Semi-Urban,No,20,Friday
TXN100430,2024-06-08 23:04:00,610.78,Groceries,QR,Urban,Yes,23,Saturday
TXN100066,2024-06-11 05:11:00,3255.52,Shopping,Online,Rural,No,5,Tuesday
TXN100453,2024-06-11 12:48:00,3040.36,Fuel,Contact,Urban,Yes,12,Tuesday
TXN100274,2024-06-16 17:01:00,780.06,Fuel,Contact,Semi-Urban,Yes,17,Sunday
TXN100309,2024-06-16 22:14:00,2520.37,Entertainment,QR,Rural,Yes,22,Sunday
TXN100004,2024-06-18 00:11:00,879.46,Groceries,Contact,Rural,No,0,Tuesday
TXN100128,2024-06-18 01:59:00,4853.97,Groceries,Contact,Urban,Yes,1,Tuesday
TXN100355,2024-06-19 08:34:00,4562.21,Entertainment,Contact,Rural,No,8,Wednesday
TXN100292,2024-06-20 09:42:00,2205.33,Groceries,AutoPay,Urban,Yes,9,Thursday
TXN100224,2024-06-21 20:31:00,4322.73,Health & Pharmacy,QR,Urban,Yes,20,Friday
TXN100416,2024-06-23 17:52:00,3913.12,Other,AutoPay,Urban,Yes,17,Sunday
TXN100312,2024-06-24 10:16:00,2679.73,Health & Pharmacy,Online,Semi-Urban,Yes,10,Monday
TXN100063,2024-06-24 11:21:00,3981.55,Entertainment,Online,Rural,Yes,11,Monday
TXN100424,2024-06-24 15:11:00,1940.86,Online Services,QR,Rural,No,15,Monday
TXN100408,2024-06-26 09:07:00,3017.86,Health & Pharmacy,AutoPay,Semi-Urban,Yes,9,Wednesday
TXN100333,2024-06-26 18:53:00,2828.35,Bills & Utilities,Online,Semi-Urban,No,18,Wednesday
TXN100438,2024-06-26 19:20:00,4199.92,Health & Pharmacy,AutoPay,Rural,No,19,Wednesday
TXN100208,2024-06-27 06:12:00,3240.34,Online Services,QR,Semi-Urban,Yes,6,Thursday
TXN100042,2024-06-27 06:57:00,33.11,Health & Pharmacy,Contact,Urban,No,6,Thursday
TXN100251,2024-06-27 11:06:00,2999.18,Bills & Utilities,Contact,Urban,Yes,11,Thursday
TXN100325,2024-06-30 00:34:00,293.95,Health & Pharmacy,QR,Semi-Urban,Yes,0,Sunday
TXN100033,2024-07-01 00:32:00,4062.28,Groceries,QR,Rural,Yes,0,Monday
TXN100357,2024-07-01 05:06:00,4481.27,Food & Dining,Online,Urban,No,5,Monday
TXN100048,2024-07-01 14:03:00,665.52,Food & Dining,Contact,Urban,No,14,Monday
TXN100449,2024-07-01 16:22:00,2088.85,Food & Dining,AutoPay,Urban,Yes,16,Monday
TXN100432,2024-07-01 19:12:00,4543.47,Food & Dining,AutoPay,Rural,No,19,Monday
TXN100295,2024-07-02 17:34:00,4676.72,Bills & Utilities,Contact,Urban,No,17,Tuesday
TXN100308,2024-07-02 18:03:00,1928.81,Health & Pharmacy,Contact,Rural,Yes,18,Tuesday
TXN100441,2024-07-04 00:00:00,2270.94,Food & Dining,QR,Semi-Urban,No,0,Thursday
TXN100282,2024-07-04 00:03:00,3000.85,Food & Dining,AutoPay,Urban,No,0,Thursday
TXN100466,2024-07-04 09:47:00,3997.03,Fuel,Online,Rural,No,9,Thursday
TXN100331,2024-07-04 21:27:00,2556.14,Travel,AutoPay,Urban,No,21,Thursday
TXN100378,2024-07-05 08:16:00,1694.92,Health & Pharmacy,QR,Urban,No,8,Friday
TXN100243,2024-07-05 08:56:00,3132.94,Fuel,Online,Rural,Yes,8,Friday
TXN100422,2024-07-05 09:49:00,705.13,Bills & Utilities,AutoPay,Semi-Urban,Yes,9,Friday
TXN100328,2024-07-05 14:33:00,4727.47,Food & Dining,Online,Rural,No,14,Friday
TXN100404,2024-07-06 21:33:00,178.79,Fuel,AutoPay,Semi-Urban,No,21,Saturday
TXN100341,2024-07-07 03:55:00,4283.64,Groceries,Contact,Semi-Urban,No,3,Sunday
TXN100237,2024-07-07 07:06:00,1258.06,Bills & Utilities,QR,Rural,No,7,Sunday
TXN100118,2024-07-09 11:57:00,3827.46,Travel,QR,Semi-Urban,No,11,Tuesday
TXN100437,2024-07-09 20:13:00,1576.72,Online Services,AutoPay,Urban,No,20,Tuesday
TXN100025,2024-07-11 11:28:00,169.96,Online Services,QR,Urban,No,11,Thursday
TXN100373,2024-07-11 12:36:00,3416.01,Other,Contact,Urban,Yes,12,Thursday
TXN100336,2024-07-13 01:08:00,4158.25,Fuel,Online,Urban,Yes,1,Saturday
TXN100280,2024-07-16 11:19:00,1815.03,Online Services,QR,Rural,Yes,11,Tuesday
TXN100144,2024-07-17 20:16:00,2590.19,Shopping,Online,Rural,Yes,20,Wednesday
TXN100376,2024-07-18 16:34:00,505.75,Groceries,QR,Urban,Yes,16,Thursday
TXN100069,2024-07-19 13:05:00,4688.29,Fuel,AutoPay,Urban,Yes,13,Friday
TXN100266,2024-07-20 16:14:00,2928.46,Travel,Online,Urban,Yes,16,Saturday
TXN100091,2024-07-20 21:27:00,3086.39,Food & Dining,QR,Urban,No,21,Saturday
TXN100160,2024-07-21 07:21:00,2587.58,Online Services,AutoPay,Semi-Urban,Yes,7,Sunday
TXN100447,2024-07-23 12:45:00,3720.19,Shopping,AutoPay,Semi-Urban,Yes,12,Tuesday
