transaction_id,timestamp,transaction_date,transaction_hour,day_of_week,amount,merchant_category,payment_mode,location_type,is_successful,payment_status
TXN100327,2024-01-15 18:05:00,2024-01-15,18,Monday,4310.22,Fuel,AutoPay,Semi-Urban,Yes,Successful
TXN100400,2024-01-16 14:00:00,2024-01-16,14,Tuesday,3168.04,Fuel,Online,Urban,Yes,Successful
TXN100204,2024-01-18 03:38:00,2024-01-18,3,Thursday,1410.81,Online Services,Online,Rural,Yes,Successful
TXN100360,2024-01-18 11:09:00,2024-01-18,11,Thursday,4630.52,Health & Pharmacy,QR,Semi-Urban,Yes,Successful
TXN100391,2024-01-18 13:33:00,2024-01-18,13,Thursday,3715.28,Online Services,AutoPay,Rural,No,Failed
TXN100407,2024-01-19 09:56:00,2024-01-19,9,Friday,2217.01,Entertainment,AutoPay,Semi-Urban,No,Failed
TXN100446,2024-01-19 19:17:00,2024-01-19,19,Friday,4718.16,Travel,QR,Rural,Yes,Successful
TXN100239,2024-01-21 02:09:00,2024-01-21,2,Sunday,3002.79,Online Services,QR,Semi-Urban,No,Failed
TXN100200,2024-01-21 02:44:00,2024-01-21,2,Sunday,3639.36,Shopping,Online,Rural,No,Failed
TXN100277,2024-01-21 03:18:00,2024-01-21,3,Sunday,1723.3,Health & Pharmacy,Contact,Urban,Yes,Successful
TXN100489,2024-01-21 14:09:00,2024-01-21,14,Sunday,975.73,Groceries,QR,Urban,No,Failed
TXN100229,2024-01-23 12:47:00,2024-01-23,12,Tuesday,3103.56,Travel,AutoPay,Rural,No,Failed
TXN100291,2024-01-23 22:08:00,2024-01-23,22,Tuesday,1138.22,Shopping,AutoPay,Urban,Yes,Successful
TXN100321,2024-01-24 00:29:00,2024-01-24,0,Wednesday,602.24,Other,QR,Semi-Urban,Yes,Successful
TXN100393,2024-01-24 05:14:00,2024-01-24,5,Wednesday,1853.75,Health & Pharmacy,AutoPay,Semi-Urban,Yes,Successful
TXN100023,2024-01-24 10:30:00,2024-01-24,10,Wednesday,1081.9,Other,Contact,Rural,No,Failed
TXN100207,2024-01-25 01:34:00,2024-01-25,1,Thursday,4662.59,Other,QR,Urban,Yes,Successful
TXN100161,2024-01-25 21:30:00,2024-01-25,21,Thursday,1156.23,Shopping,AutoPay,Rural,No,Failed
TXN100232,2024-01-26 13:57:00,2024-01-26,13,Friday,2816.67,Bills & Utilities,QR,Urban,Yes,Successful
TXN100412,2024-01-26 17:12:00,2024-01-26,17,Friday,1282.31,Entertainment,QR,Semi-Urban,Yes,Successful
TXN100187,2024-01-26 20:41:00,2024-01-26,20,Friday,4198.16,Health & Pharmacy,Contact,Rural,Yes,Successful
TXN100035,2024-01-26 23:23:00,2024-01-26,23,Friday,876.54,Entertainment,Contact,Urban,No,Failed
TXN100248,2024-01-27 03:33:00,2024-01-27,3,Saturday,2388.11,Health & Pharmacy,Contact,Semi-Urban,Yes,Successful
TXN100170,2024-01-27 15:35:00,2024-01-27,15,Saturday,3130.06,Fuel,Contact,Urban,Yes,Successful
TXN100088,2024-01-28 06:14:00,2024-01-28,6,Sunday,1631.88,Fuel,QR,Urban,Yes,Successful
TXN100213,2024-01-29 09:18:00,2024-01-29,9,Monday,4807.85,Shopping,Contact,Urban,No,Failed
TXN100352,2024-01-29 16:11:00,2024-01-29,16,Monday,3687.33,Travel,Contact,Urban,Yes,Successful
TXN100073,2024-01-30 07:30:00,2024-01-30,7,Tuesday,1331.0,Entertainment,QR,Rural,No,Failed
TXN100096,2024-02-02 05:11:00,2024-02-02,5,Friday,4273.62,Online Services,AutoPay,Semi-Urban,Yes,Successful
TXN100064,2024-02-02 05:42:00,2024-02-02,5,Friday,3700.56,Groceries,Online,Semi-Urban,Yes,Successful
TXN100098,2024-02-02 10:52:00,2024-02-02,10,Friday,4196.32,Fuel,Online,Semi-Urban,Yes,Successful
TXN100390,2024-02-03 04:37:00,2024-02-03,4,Saturday,4700.16,Shopping,AutoPay,Urban,Yes,Successful
TXN100307,2024-02-03 13:23:00,2024-02-03,13,Saturday,4047.47,Food & Dining,QR,Semi-Urban,Yes,Successful
TXN100019,2024-02-03 20:00:00,2024-02-03,20,Saturday,3680.84,Online Services,Contact,Urban,Yes,Successful
TXN100038,2024-02-03 21:10:00,2024-02-03,21,Saturday,1153.84,Travel,Online,Rural,No,Failed
TXN100164,2024-02-04 23:03:00,2024-02-04,23,Sunday,4800.41,Health & Pharmacy,Contact,Rural,No,Failed
TXN100178,2024-02-07 18:01:00,2024-02-07,18,Wednesday,3508.04,Food & Dining,Contact,Urban,No,Failed
TXN100052,2024-02-09 14:36:00,2024-02-09,14,Friday,3687.16,Shopping,QR,Rural,Yes,Successful
TXN100101,2024-02-11 18:05:00,2024-02-11,18,Sunday,475.76,Entertainment,Contact,Urban,No,Failed
TXN100319,2024-02-12 07:18:00,2024-02-12,7,Monday,3546.88,Groceries,AutoPay,Rural,Yes,Successful
TXN100120,2024-02-12 12:14:00,2024-02-12,12,Monday,4148.26,Shopping,QR,Rural,Yes,Successful
TXN100414,2024-02-13 02:03:00,2024-02-13,2,Tuesday,2985.23,Online Services,AutoPay,Urban,No,Failed
TXN100175,2024-02-15 21:01:00,2024-02-15,21,Thursday,4347.44,Food & Dining,Online,Rural,Yes,Successful
TXN100040,2024-02-16 06:56:00,2024-02-16,6,Friday,3892.99,Entertainment,QR,Semi-Urban,Yes,Successful
TXN100137,2024-02-16 11:40:00,2024-02-16,11,Friday,2160.57,Shopping,AutoPay,Rural,Yes,Successful
TXN100278,2024-02-16 23:04:00,2024-02-16,23,Friday,2545.5,Groceries,QR,Urban,No,Failed
TXN100138,2024-02-17 06:18:00,2024-02-17,6,Saturday,2036.35,Health & Pharmacy,Contact,Urban,No,Failed
TXN100454,2024-02-17 08:32:00,2024-02-17,8,Saturday,4553.58,Health & Pharmacy,Online,Rural,Yes,Successful
TXN100133,2024-02-17 10:15:00,2024-02-17,10,Saturday,4753.09,Food & Dining,Contact,Urban,No,Failed
TXN100003,2024-02-17 22:22:00,2024-02-17,22,Saturday,3268.35,Food & Dining,Online,Semi-Urban,Yes,Successful
TXN100185,2024-02-20 21:57:00,2024-02-20,21,Tuesday,3510.71,Bills & Utilities,Contact,Rural,No,Failed
TXN100024,2024-02-20 23:50:00,2024-02-20,23,Tuesday,681.18,Fuel,AutoPay,Semi-Urban,Yes,Successful
TXN100162,2024-02-21 01:09:00,2024-02-21,1,Wednesday,2954.46,Entertainment,Contact,Semi-Urban,Yes,Successful
TXN100114,2024-02-21 01:40:00,2024-02-21,1,Wednesday,4333.35,Travel,Contact,Semi-Urban,Yes,Successful
TXN100062,2024-02-22 03:00:00,2024-02-22,3,Thursday,1052.74,Health & Pharmacy,QR,Rural,No,Failed
TXN100181,2024-02-22 16:30:00,2024-02-22,16,Thursday,23.75,Bills & Utilities,Contact,Urban,No,Failed
TXN100074,2024-02-23 19:03:00,2024-02-23,19,Friday,729.39,Entertainment,Online,Semi-Urban,No,Failed
TXN100480,2024-02-25 03:34:00,2024-02-25,3,Sunday,2612.06,Groceries,AutoPay,Urban,No,Failed
TXN100129,2024-02-27 14:33:00,2024-02-27,14,Tuesday,2092.35,Travel,Contact,Rural,No,Failed
TXN100134,2024-02-27 17:22:00,2024-02-27,17,Tuesday,4150.34,Fuel,AutoPay,Rural,Yes,Successful
TXN100478,2024-02-28 12:47:00,2024-02-28,12,Wednesday,2847.03,Fuel,AutoPay,Urban,Yes,Successful
TXN100245,2024-02-29 07:04:00,2024-02-29,7,Thursday,4805.35,Food & Dining,Contact,Rural,No,Failed
TXN100036,2024-03-02 00:15:00,2024-03-02,0,Saturday,809.56,Groceries,QR,Semi-Urban,No,Failed
TXN100184,2024-03-02 14:33:00,2024-03-02,14,Saturday,864.49,Shopping,Contact,Semi-Urban,Yes,Successful
TXN100173,2024-03-04 11:57:00,2024-03-04,11,Monday,1689.69,Online Services,QR,Rural,Yes,Successful
TXN100093,2024-03-05 04:19:00,2024-03-05,4,Tuesday,2660.92,Travel,AutoPay,Semi-Urban,Yes,Successful
TXN100398,2024-03-05 23:20:00,2024-03-05,23,Tuesday,2720.45,Groceries,Online,Urban,Yes,Successful
TXN100094,2024-03-07 00:09:00,2024-03-07,0,Thursday,1635.74,Groceries,AutoPay,Urban,No,Failed
TXN100304,2024-03-09 16:02:00,2024-03-09,16,Saturday,2960.71,Entertainment,QR,Rural,No,Failed
TXN100220,2024-03-11 00:57:00,2024-03-11,0,Monday,4201.19,Bills & Utilities,Online,Urban,No,Failed
TXN100323,2024-03-12 08:54:00,2024-03-12,8,Tuesday,4582.49,Shopping,AutoPay,Urban,Yes,Successful
TXN100456,2024-03-13 04:32:00,2024-03-13,4,Wednesday,1595.59,Travel,Contact,Urban,No,Failed
TXN100276,2024-03-13 10:57:00,2024-03-13,10,Wednesday,1505.17,Shopping,Online,Rural,No,Failed
TXN100168,2024-03-13 15:17:00,2024-03-13,15,Wednesday,2707.98,Travel,QR,Semi-Urban,Yes,Successful
TXN100167,2024-03-14 06:36:00,2024-03-14,6,Thursday,3903.7,Online Services,Online,Semi-Urban,No,Failed
TXN100190,2024-03-14 07:00:00,2024-03-14,7,Thursday,4631.92,Online Services,AutoPay,Semi-Urban,Yes,Successful
TXN100028,2024-03-16 11:45:00,2024-03-16,11,Saturday,4808.83,Shopping,AutoPay,Rural,Yes,Successful
TXN100149,2024-03-17 02:37:00,2024-03-17,2,Sunday,1524.98,Bills & Utilities,QR,Semi-Urban,Yes,Successful
TXN100214,2024-03-18 02:38:00,2024-03-18,2,Monday,179.8,Online Services,Contact,Rural,No,Failed
TXN100254,2024-03-18 12:07:00,2024-03-18,12,Monday,4883.88,Health & Pharmacy,Online,Semi-Urban,No,Failed
TXN100385,2024-03-18 12:12:00,2024-03-18,12,Monday,1118.97,Groceries,Contact,Urban,No,Failed
TXN100362,2024-03-19 22:17:00,2024-03-19,22,Tuesday,4228.99,Shopping,Contact,Urban,Yes,Successful
TXN100445,2024-03-20 13:22:00,2024-03-20,13,Wednesday,3943.44,Bills & Utilities,Online,Rural,No,Failed
TXN100076,2024-03-22 01:45:00,2024-03-22,1,Friday,2030.29,Online Services,AutoPay,Semi-Urban,Yes,Successful
TXN100021,2024-03-22 08:27:00,2024-03-22,8,Friday,3905.33,Fuel,Online,Rural,Yes,Successful
TXN100353,2024-03-23 10:01:00,2024-03-23,10,Saturday,2784.56,Food & Dining,QR,Semi-Urban,No,Failed
TXN100311,2024-03-24 04:38:00,2024-03-24,4,Sunday,1339.21,Entertainment,Contact,Semi-Urban,No,Failed
TXN100469,2024-03-24 06:51:00,2024-03-24,6,Sunday,3555.17,Other,AutoPay,Rural,Yes,Successful
TXN100461,2024-03-24 20:35:00,2024-03-24,20,Sunday,943.66,Bills & Utilities,Online,Rural,Yes,Successful
TXN100427,2024-03-25 09:35:00,2024-03-25,9,Monday,551.21,Groceries,QR,Semi-Urban,Yes,Successful
TXN100294,2024-03-25 11:52:00,2024-03-25,11,Monday,1953.62,Bills & Utilities,QR,Urban,Yes,Successful
TXN100044,2024-03-25 17:38:00,2024-03-25,17,Monday,4973.82,Travel,QR,Urban,Yes,Successful
TXN100126,2024-03-26 04:31:00,2024-03-26,4,Tuesday,1203.16,Health & Pharmacy,AutoPay,Semi-Urban,Yes,Successful
TXN100112,2024-03-27 20:10:00,2024-03-27,20,Wednesday,2102.82,Entertainment,Online,Urban,No,Failed
TXN100016,2024-03-30 00:33:00,2024-03-30,0,Saturday,4928.6,Other,Online,Urban,Yes,Successful
TXN100053,2024-03-31 09:09:00,2024-03-31,9,Sunday,1395.93,Online Services,AutoPay,Rural,Yes,Successful
TXN100145,2024-03-31 12:05:00,2024-03-31,12,Sunday,2286.58,Other,Contact,Urban,No,Failed
TXN100131,2024-04-01 00:04:00,2024-04-01,0,Monday,1404.08,Food & Dining,Contact,Rural,No,Failed
TXN100013,2024-04-01 23:51:00,2024-04-01,23,Monday,1930.19,Other,Online,Rural,No,Failed
TXN100212,2024-04-02 02:48:00,2024-04-02,2,Tuesday,1039.4,Entertainment,QR,Rural,No,Failed
TXN100279,2024-04-02 14:49:00,2024-04-02,14,Tuesday,940.47,Food & Dining,Online,Urban,Yes,Successful
TXN100413,2024-04-02 17:16:00,2024-04-02,17,Tuesday,1958.81,Fuel,Online,Rural,No,Failed
TXN100334,2024-04-03 09:07:00,2024-04-03,9,Wednesday,3015.62,Online Services,QR,Urban,No,Failed
TXN100205,2024-04-04 02:55:00,2024-04-04,2,Thursday,323.81,Travel,QR,Rural,No,Failed
TXN100008,2024-04-04 08:57:00,2024-04-04,8,Thursday,3510.62,Fuel,Online,Semi-Urban,No,Failed
TXN100054,2024-04-04 21:30:00,2024-04-04,21,Thursday,535.34,Bills & Utilities,Contact,Urban,Yes,Successful
TXN100289,2024-04-05 14:27:00,2024-04-05,14,Friday,3901.89,Entertainment,Contact,Urban,No,Failed
TXN100219,2024-04-06 00:43:00,2024-04-06,0,Saturday,4507.19,Bills & Utilities,QR,Rural,No,Failed
TXN100034,2024-04-06 13:06:00,2024-04-06,13,Saturday,1806.67,Fuel,QR,Rural,No,Failed
TXN100078,2024-04-07 00:54:00,2024-04-07,0,Sunday,4498.03,Groceries,QR,Rural,No,Failed
TXN100426,2024-04-07 02:28:00,2024-04-07,2,Sunday,276.8,Travel,Contact,Semi-Urban,Yes,Successful
TXN100409,2024-04-09 07:15:00,2024-04-09,7,Tuesday,915.46,Fuel,Contact,Urban,No,Failed
TXN100420,2024-04-10 12:31:00,2024-04-10,12,Wednesday,3526.0,Travel,AutoPay,Rural,No,Failed
TXN100183,2024-04-11 01:52:00,2024-04-11,1,Thursday,2006.67,Food & Dining,QR,Urban,No,Failed
TXN100111,2024-04-11 02:38:00,2024-04-11,2,Thursday,730.57,Fuel,AutoPay,Semi-Urban,Yes,Successful
TXN100451,2024-04-11 13:48:00,2024-04-11,13,Thursday,4586.41,Fuel,Online,Semi-Urban,Yes,Successful
TXN100406,2024-04-11 18:00:00,2024-04-11,18,Thursday,213.27,Groceries,QR,Semi-Urban,Yes,Successful
TXN100211,2024-04-12 07:59:00,2024-04-12,7,Friday,3587.67,Fuel,QR,Rural,Yes,Successful
TXN100275,2024-04-12 10:45:00,2024-04-12,10,Friday,83.32,Online Services,Contact,Semi-Urban,No,Failed
TXN100314,2024-04-14 06:44:00,2024-04-14,6,Sunday,2466.76,Health & Pharmacy,Online,Semi-Urban,Yes,Successful
TXN100410,2024-04-14 09:32:00,2024-04-14,9,Sunday,890.9,Other,Online,Rural,No,Failed
TXN100141,2024-04-14 11:58:00,2024-04-14,11,Sunday,510.3,Shopping,AutoPay,Urban,No,Failed
TXN100379,2024-04-14 18:50:00,2024-04-14,18,Sunday,182.29,Other,Online,Urban,Yes,Successful
TXN100272,2024-04-15 07:58:00,2024-04-15,7,Monday,3267.95,Health & Pharmacy,Online,Urban,No,Failed
TXN100061,2024-04-15 11:50:00,2024-04-15,11,Monday,559.46,Shopping,Online,Rural,Yes,Successful
TXN100265,2024-04-16 06:29:00,2024-04-16,6,Tuesday,3450.71,Bills & Utilities,Contact,Semi-Urban,No,Failed
TXN100375,2024-04-16 07:46:00,2024-04-16,7,Tuesday,408.39,Shopping,QR,Urban,Yes,Successful
TXN100318,2024-04-17 11:02:00,2024-04-17,11,Wednesday,2887.86,Shopping,Contact,Semi-Urban,Yes,Successful
TXN100070,2024-04-17 15:21:00,2024-04-17,15,Wednesday,3303.64,Entertainment,QR,Rural,No,Failed
TXN100306,2024-04-19 23:43:00,2024-04-19,23,Friday,1003.22,Travel,Online,Semi-Urban,Yes,Successful
TXN100041,2024-04-21 10:33:00,2024-04-21,10,Sunday,4804.58,Food & Dining,AutoPay,Urban,Yes,Successful
TXN100485,2024-04-22 10:48:00,2024-04-22,10,Monday,825.68,Fuel,Online,Urban,Yes,Successful
TXN100010,2024-04-23 11:40:00,2024-04-23,11,Tuesday,2191.89,Entertainment,Contact,Semi-Urban,No,Failed
TXN100231,2024-04-23 14:02:00,2024-04-23,14,Tuesday,3246.54,Shopping,AutoPay,Rural,Yes,Successful
TXN100382,2024-04-24 15:32:00,2024-04-24,15,Wednesday,4487.08,Entertainment,AutoPay,Rural,No,Failed
TXN100105,2024-04-25 00:58:00,2024-04-25,0,Thursday,2691.74,Food & Dining,Contact,Rural,Yes,Successful
TXN100097,2024-04-25 03:36:00,2024-04-25,3,Thursday,2155.86,Entertainment,Contact,Urban,Yes,Successful
TXN100171,2024-04-26 18:02:00,2024-04-26,18,Friday,2623.22,Groceries,Online,Rural,No,Failed
TXN100124,2024-04-27 02:01:00,2024-04-27,2,Saturday,1726.28,Health & Pharmacy,Online,Semi-Urban,No,Failed
TXN100363,2024-04-27 21:45:00,2024-04-27,21,Saturday,222.08,Health & Pharmacy,Contact,Urban,Yes,Successful
TXN100342,2024-04-28 13:50:00,2024-04-28,13,Sunday,187.33,Fuel,QR,Semi-Urban,No,Failed
TXN100488,2024-04-28 21:45:00,2024-04-28,21,Sunday,2968.86,Entertainment,QR,Urban,Yes,Successful
TXN100299,2024-04-28 22:27:00,2024-04-28,22,Sunday,3601.5,Online Services,Contact,Semi-Urban,No,Failed
TXN100104,2024-04-30 06:16:00,2024-04-30,6,Tuesday,4078.48,Health & Pharmacy,Online,Rural,Yes,Successful
TXN100493,2024-04-30 18:37:00,2024-04-30,18,Tuesday,4733.97,Groceries,Contact,Rural,Yes,Successful
TXN100348,2024-04-30 21:15:00,2024-04-30,21,Tuesday,340.25,Other,AutoPay,Urban,No,Failed
TXN100452,2024-04-30 21:52:00,2024-04-30,21,Tuesday,3064.57,Fuel,Online,Urban,Yes,Successful
TXN100377,2024-05-01 01:20:00,2024-05-01,1,Wednesday,4193.18,Online Services,Online,Urban,No,Failed
TXN100196,2024-05-02 15:23:00,2024-05-02,15,Thursday,4654.41,Food & Dining,Online,Rural,Yes,Successful
TXN100014,2024-05-02 17:45:00,2024-05-02,17,Thursday,2183.55,Online Services,QR,Urban,No,Failed
TXN100361,2024-05-02 18:15:00,2024-05-02,18,Thursday,2905.05,Fuel,Online,Urban,No,Failed
TXN100121,2024-05-03 15:19:00,2024-05-03,15,Friday,2467.28,Travel,QR,Rural,No,Failed
TXN100335,2024-05-05 15:47:00,2024-05-05,15,Sunday,4354.25,Groceries,Online,Urban,No,Failed
TXN100117,2024-05-05 19:38:00,2024-05-05,19,Sunday,1701.31,Groceries,Contact,Semi-Urban,Yes,Successful
TXN100095,2024-05-07 05:37:00,2024-05-07,5,Tuesday,228.46,Health & Pharmacy,AutoPay,Semi-Urban,Yes,Successful
TXN100154,2024-05-07 16:37:00,2024-05-07,16,Tuesday,201.72,Travel,QR,Urban,Yes,Successful
TXN100240,2024-05-07 20:50:00,2024-05-07,20,Tuesday,573.48,Online Services,Contact,Urban,Yes,Successful
TXN100435,2024-05-08 00:59:00,2024-05-08,0,Wednesday,384.49,Online Services,AutoPay,Semi-Urban,No,Failed
TXN100326,2024-05-08 16:08:00,2024-05-08,16,Wednesday,4496.93,Food & Dining,Contact,Semi-Urban,No,Failed
TXN100439,2024-05-08 21:37:00,2024-05-08,21,Wednesday,4591.72,Fuel,Contact,Semi-Urban,No,Failed
TXN100442,2024-05-09 21:05:00,2024-05-09,21,Thursday,1481.04,Entertainment,Contact,Rural,Yes,Successful
TXN100303,2024-05-10 12:59:00,2024-05-10,12,Friday,2197.87,Online Services,Online,Urban,No,Failed
TXN100059,2024-05-12 05:36:00,2024-05-12,5,Sunday,2798.47,Food & Dining,AutoPay,Rural,Yes,Successful
TXN100002,2024-05-12 14:53:00,2024-05-12,14,Sunday,241.22,Online Services,Contact,Rural,No,Failed
TXN100030,2024-05-12 18:51:00,2024-05-12,18,Sunday,1734.73,Online Services,AutoPay,Semi-Urban,No,Failed
TXN100346,2024-05-13 21:43:00,2024-05-13,21,Monday,1680.9,Food & Dining,AutoPay,Urban,No,Failed
TXN100037,2024-05-14 17:09:00,2024-05-14,17,Tuesday,193.42,Other,Contact,Urban,Yes,Successful
TXN100261,2024-05-15 11:58:00,2024-05-15,11,Wednesday,328.46,Food & Dining,QR,Rural,No,Failed
TXN100242,2024-05-15 17:27:00,2024-05-15,17,Wednesday,3464.65,Other,Online,Rural,Yes,Successful
TXN100247,2024-05-17 09:30:00,2024-05-17,9,Friday,3876.02,Online Services,Contact,Rural,No,Failed
TXN100369,2024-05-18 17:16:00,2024-05-18,17,Saturday,3207.9,Other,Contact,Rural,Yes,Successful
TXN100368,2024-05-20 05:01:00,2024-05-20,5,Monday,4906.4,Online Services,Online,Semi-Urban,Yes,Successful
TXN100260,2024-05-20 10:14:00,2024-05-20,10,Monday,3446.03,Travel,Online,Urban,Yes,Successful
TXN100255,2024-05-22 16:52:00,2024-05-22,16,Wednesday,3439.1,Other,Contact,Urban,No,Failed
TXN100476,2024-05-22 23:07:00,2024-05-22,23,Wednesday,1477.7,Shopping,Online,Semi-Urban,Yes,Successful
TXN100165,2024-05-24 05:01:00,2024-05-24,5,Friday,718.24,Online Services,Contact,Urban,Yes,Successful
TXN100046,2024-05-24 14:42:00,2024-05-24,14,Friday,2180.08,Groceries,QR,Semi-Urban,Yes,Successful
TXN100405,2024-05-25 19:33:00,2024-05-25,19,Saturday,3117.87,Shopping,Online,Rural,Yes,Successful
TXN100481,2024-05-25 21:40:00,2024-05-25,21,Saturday,116.49,Food & Dining,QR,Semi-Urban,No,Failed
TXN100099,2024-05-26 17:02:00,2024-05-26,17,Sunday,1780.17,Health & Pharmacy,Online,Rural,No,Failed
TXN100172,2024-05-27 01:13:00,2024-05-27,1,Monday,1775.11,Health & Pharmacy,Contact,Semi-Urban,No,Failed
TXN100372,2024-05-27 05:14:00,2024-05-27,5,Monday,1563.85,Shopping,AutoPay,Rural,Yes,Successful
TXN100296,2024-05-27 11:29:00,2024-05-27,11,Monday,1380.83,Entertainment,Contact,Urban,Yes,Successful
TXN100263,2024-05-28 00:51:00,2024-05-28,0,Tuesday,4780.64,Groceries,AutoPay,Rural,Yes,Successful
TXN100380,2024-05-28 17:48:00,2024-05-28,17,Tuesday,2151.58,Other,QR,Rural,No,Failed
TXN100297,2024-05-29 07:00:00,2024-05-29,7,Wednesday,1814.12,Travel,Online,Rural,No,Failed
TXN100107,2024-05-29 12:19:00,2024-05-29,12,Wednesday,4664.3,Entertainment,QR,Semi-Urban,Yes,Successful
TXN100055,2024-05-30 23:22:00,2024-05-30,23,Thursday,24.25,Health & Pharmacy,QR,Semi-Urban,No,Failed
TXN100374,2024-05-31 06:43:00,2024-05-31,6,Friday,658.78,Other,Online,Semi-Urban,Yes,Successful
TXN100392,2024-05-31 15:49:00,2024-05-31,15,Friday,3155.6,Travel,Contact,Semi-Urban,No,Failed
TXN100249,2024-06-01 01:11:00,2024-06-01,1,Saturday,2798.46,Travel,AutoPay,Urban,Yes,Successful
TXN100156,2024-06-01 01:34:00,2024-06-01,1,Saturday,2335.81,Health & Pharmacy,Contact,Rural,No,Failed
TXN100483,2024-06-02 01:38:00,2024-06-02,1,Sunday,2309.46,Fuel,Online,Rural,No,Failed
TXN100182,2024-06-02 20:07:00,2024-06-02,20,Sunday,173.03,Other,Online,Semi-Urban,Yes,Successful
TXN100320,2024-06-04 03:40:00,2024-06-04,3,Tuesday,1588.51,Groceries,AutoPay,Urban,No,Failed
TXN100012,2024-06-04 13:46:00,2024-06-04,13,Tuesday,3040.92,Other,Online,Urban,No,Failed
TXN100492,2024-06-04 21:09:00,2024-06-04,21,Tuesday,1373.24,Fuel,Online,Urban,No,Failed
TXN100221,2024-06-05 02:12:00,2024-06-05,2,Wednesday,1633.01,Fuel,Online,Rural,Yes,Successful
TXN100351,2024-06-05 17:18:00,2024-06-05,17,Wednesday,627.56,Bills & Utilities,Contact,Urban,Yes,Successful
TXN100467,2024-06-05 20:52:00,2024-06-05,20,Wednesday,4920.98,Fuel,Online,Rural,Yes,Successful
TXN100195,2024-06-06 05:15:00,2024-06-06,5,Thursday,2243.45,Bills & Utilities,QR,Rural,Yes,Successful
TXN100050,2024-06-06 09:43:00,2024-06-06,9,Thursday,4122.68,Shopping,AutoPay,Rural,No,Failed
TXN100262,2024-06-06 15:03:00,2024-06-06,15,Thursday,3999.15,Other,QR,Urban,Yes,Successful
TXN100127,2024-06-06 17:03:00,2024-06-06,17,Thursday,4677.11,Food & Dining,Contact,Semi-Urban,Yes,Successful
TXN100155,2024-06-07 02:58:00,2024-06-07,2,Friday,3194.84,Bills & Utilities,AutoPay,Rural,Yes,Successful
TXN100477,2024-06-07 07:08:00,2024-06-07,7,Friday,859.97,Online Services,AutoPay,Semi-Urban,No,Failed
TXN100147,2024-06-07 14:40:00,2024-06-07,14,Friday,1977.64,Online Services,QR,Semi-Urban,Yes,Successful
TXN100472,2024-06-07 19:09:00,2024-06-07,19,Friday,4387.88,Groceries,Contact,Urban,No,Failed
